visa_type,continent,age,education_level,occupation_category,income_level_usd,has_strong_home_ties,prior_visa_violations,prior_us_travel,documentation_quality,social_media_flag,criminal_background,admin_processing_delay,country_of_origin,approval_status,gender,marital_status,number_of_dependents
B-2,South America,32,Master,Athlete,68780.8073983478,Yes,No,Never,High,Clean,No,Yes,Argentina,1,Female,Divorced,0
J-1,Africa,26,Master,Athlete,33949.34092407669,No,No,Never,High,Clean,No,No,Ghana,1,Male,Married,3
L-1,North America,1,Bachelor,Technician,39930.38928159344,No,No,Once,High,Clean,No,No,Guatemala,1,Other,Married,0
B-1,North America,68,PhD,Businessperson,39221.45538174805,No,No,Never,High,Clean,No,No,Mexico,1,Male,Single,0
J-1,South America,42,Bachelor,Athlete,42880.28530733413,Yes,No,Multiple,High,Clean,No,No,Brazil,1,Male,Single,2
B-2,North America,62,Master,Scientist,17052.536314476736,Yes,No,Once,High,Clean,No,No,Mexico,1,Female,Single,3
O-1,North America,52,Bachelor,Technician,35099.63462954845,No,No,Never,High,Clean,No,No,Mexico,1,Female,Divorced,0
L-1,North America,50,Bachelor,Student,18323.350472866718,Yes,No,Never,Low,Clean,No,No,Canada,1,Male,Married,0
J-1,Europe,42,High School,Student,45484.646730415705,Yes,No,Once,Medium,Clean,No,No,UK,1,Male,Single,1
B-1,Asia,14,High School,Scientist,1271.2493564754586,Yes,No,Once,Medium,Clean,No,No,Pakistan,1,Male,Married,4
B-1,South America,21,Master,Technician,50347.74535334711,Yes,No,Never,High,Clean,No,Yes,Argentina,1,Female,Single,0
F-1,Europe,18,Bachelor,Businessperson,65622.68647634532,Yes,No,Never,High,Clean,No,Yes,France,1,Female,Divorced,0
F-1,South America,3,Bachelor,Professor,19031.87062696411,Yes,No,Never,High,Clean,No,Yes,Colombia,1,Female,Married,1
TN,Europe,19,PhD,Businessperson,9994.382745984141,Yes,No,Multiple,Medium,Clean,No,No,Germany,1,Male,Married,1
B-2,North America,22,Master,Technician,7376.829313098315,Yes,No,Never,Medium,Clean,No,No,Mexico,1,Male,Single,0
J-1,North America,44,Bachelor,Businessperson,7547.274591606507,No,No,Once,High,Clean,No,No,Mexico,1,Female,Married,1
J-1,Europe,57,PhD,Student,26962.741069144464,Yes,No,Never,Medium,Clean,No,No,Russia,1,Female,Married,2
TN,North America,69,Bachelor,Businessperson,10998.715996436691,Yes,No,Never,High,Clean,No,No,Guatemala,1,Female,Single,1
O-1,Asia,47,PhD,Businessperson,38498.45250085863,Yes,No,Never,High,Clean,No,Yes,India,1,Male,Married,2
O-1,South America,48,Bachelor,Professor,31942.221047381237,Yes,No,Never,High,Clean,No,No,Argentina,1,Male,Divorced,1
TN,North America,37,Master,Student,50181.44270104483,Yes,No,Once,Medium,Clean,No,No,Canada,1,Female,Married,2
O-1,Africa,20,PhD,Athlete,63242.29547949206,No,No,Never,Medium,Negative Content,No,No,South Africa,0,Male,Single,0
F-1,Europe,24,Master,Professor,34282.38189986706,Yes,No,Once,High,Clean,No,Yes,Russia,1,Female,Single,3
J-1,Europe,28,Bachelor,Athlete,889.1270969237776,Yes,Yes,Once,High,Clean,No,No,Russia,1,Female,Single,4
TN,North America,40,High School,Athlete,61526.1462775576,Yes,No,Multiple,High,Clean,No,No,Guatemala,1,Male,Single,2
J-1,Europe,23,High School,Professor,15177.841138919039,Yes,No,Never,Medium,Clean,No,No,Germany,1,Male,Single,2
B-1,Africa,14,High School,Scientist,45693.89818544715,Yes,No,Multiple,Low,Clean,No,No,Ghana,1,Female,Married,0
F-1,Europe,5,High School,Professor,9946.585296077636,Yes,No,Never,Medium,Clean,No,Yes,Russia,1,Male,Single,0
L-1,Africa,6,None,Scientist,28734.52139955861,No,No,Once,High,Clean,No,Yes,Ghana,1,Female,Single,1
F-1,Europe,53,Bachelor,Athlete,38686.399124359756,Yes,No,Never,Medium,Clean,No,No,France,1,Male,Married,0
TN,Europe,53,High School,Businessperson,41587.635741203936,Yes,No,Once,Medium,Clean,No,No,Germany,1,Male,Married,1
L-1,Africa,28,Bachelor,Professor,0.0,Yes,No,Once,Medium,Clean,No,No,South Africa,1,Male,Married,0
B-1,South America,56,Bachelor,Businessperson,17501.246636733347,Yes,No,Once,High,Clean,No,Yes,Brazil,1,Male,Widowed,1
TN,Asia,43,PhD,Student,25625.561834979126,Yes,Yes,Multiple,High,Clean,No,No,India,1,Female,Married,5
B-2,Africa,65,High School,Student,21307.84622384291,Yes,No,Never,Medium,Clean,No,No,Ghana,1,Male,Married,4
J-1,Asia,13,Master,Student,23236.209286400146,Yes,No,Multiple,Medium,Negative Content,No,No,India,1,Male,Single,0
B-1,Europe,21,High School,Student,33769.81934081094,No,No,Once,High,Clean,No,No,UK,1,Male,Single,2
J-1,South America,14,None,Technician,21331.60889811282,Yes,No,Multiple,Medium,Clean,No,No,Argentina,1,Female,Married,2
O-1,Africa,49,High School,Student,0.0,Yes,No,Never,High,Clean,No,No,Nigeria,1,Male,Single,1
B-2,South America,47,High School,Technician,47834.066774835774,Yes,No,Once,Medium,Clean,No,No,Colombia,1,Male,Single,1
B-2,Africa,63,Bachelor,Athlete,39780.16469671312,Yes,No,Never,Medium,Clean,No,No,Ghana,1,Female,Married,3
B-1,North America,42,Bachelor,Scientist,23649.592472361015,Yes,No,Never,Medium,Clean,No,Yes,Guatemala,1,Male,Married,2
B-2,Africa,12,PhD,Athlete,0.0,No,No,Once,High,Clean,No,No,Kenya,1,Male,Divorced,1
L-1,Asia,42,PhD,Athlete,0.0,Yes,Yes,Never,Medium,Clean,No,No,China,1,Other,Single,1
B-2,North America,0,Master,Athlete,38426.53236012877,Yes,No,Once,High,Clean,No,Yes,Mexico,1,Female,Single,3
J-1,Europe,79,High School,Athlete,43909.762243786754,Yes,Yes,Multiple,High,Clean,No,Yes,UK,0,Male,Single,2
J-1,Africa,76,High School,Student,25126.624071638926,Yes,No,Once,High,Clean,No,No,South Africa,1,Male,Single,0
TN,Asia,75,Bachelor,Businessperson,61230.134704530115,No,No,Once,High,Clean,No,No,China,1,Female,Married,1
J-1,Europe,38,Master,Scientist,0.0,Yes,No,Never,High,Clean,No,No,Germany,1,Male,Single,1
TN,Asia,12,PhD,Professor,5536.103384490671,Yes,No,Never,High,Clean,No,No,Pakistan,1,Female,Married,2
J-1,Europe,7,None,Student,36177.439118569644,Yes,No,Once,Medium,Clean,No,No,Germany,1,Male,Single,1
L-1,Africa,10,Master,Student,14743.940773724931,Yes,No,Multiple,High,Clean,No,No,Nigeria,1,Male,Married,0
TN,South America,69,Bachelor,Businessperson,98175.0648954022,Yes,No,Once,Medium,Clean,No,No,Argentina,1,Female,Single,0
F-1,Europe,67,Master,Athlete,28659.377856956904,Yes,No,Once,High,Clean,No,No,France,1,Female,Single,1
O-1,South America,47,High School,Student,25211.984208334907,Yes,No,Never,Medium,Clean,No,No,Brazil,1,Female,Divorced,0
B-1,Europe,23,None,Professor,33182.045363607205,No,No,Once,Medium,Clean,Yes,No,Russia,0,Male,Single,0
J-1,South America,63,Bachelor,Scientist,11425.410317136633,No,No,Multiple,Medium,Clean,No,No,Brazil,1,Female,Single,1
B-2,Africa,69,Bachelor,Student,16040.955099075465,Yes,No,Once,Low,Clean,No,No,South Africa,1,Male,Single,2
J-1,Asia,76,High School,Scientist,34515.90718076506,Yes,No,Never,Low,Clean,No,No,Philippines,0,Male,Divorced,0
B-2,Africa,16,Bachelor,Businessperson,27080.023983885945,No,No,Multiple,Medium,Clean,No,No,Kenya,1,Female,Single,1
O-1,Europe,14,Bachelor,Professor,16062.833030455891,Yes,No,Never,High,Clean,No,No,Russia,1,Female,Married,1
O-1,North America,12,Bachelor,Technician,21462.38185479821,Yes,No,Never,High,Clean,No,No,Mexico,1,Female,Widowed,4
O-1,Asia,79,High School,Technician,24740.826237951358,Yes,No,Never,Medium,Clean,No,No,Philippines,0,Male,Single,1
B-2,South America,7,Bachelor,Scientist,5354.945701034656,No,No,Never,High,Clean,No,Yes,Brazil,1,Male,Single,1
J-1,Asia,37,High School,Athlete,0.0,Yes,No,Once,Medium,Clean,No,No,Philippines,1,Female,Single,1
O-1,Asia,8,High School,Businessperson,37168.60567276565,No,No,Once,Medium,Clean,No,No,Philippines,0,Male,Married,2
L-1,Africa,66,High School,Technician,27882.975005825803,Yes,No,Once,Medium,Clean,No,No,Nigeria,1,Male,Married,0
TN,Europe,39,Bachelor,Student,32377.12994235923,Yes,Yes,Never,High,Clean,No,No,Russia,1,Female,Widowed,0
B-2,Africa,58,Bachelor,Athlete,30725.415634175195,Yes,No,Multiple,High,Clean,No,No,Nigeria,1,Female,Married,0
B-2,Europe,12,None,Professor,40564.77103095883,No,No,Never,High,Clean,No,No,France,1,Female,Single,1
J-1,North America,42,PhD,Businessperson,32628.79090980852,Yes,No,Multiple,High,Clean,No,Yes,Canada,1,Female,Married,2
B-2,Africa,77,Master,Technician,37101.614170590925,Yes,Yes,Once,High,Clean,No,No,South Africa,1,Female,Single,1
B-2,North America,29,High School,Businessperson,79313.13003114372,Yes,No,Once,Medium,Clean,No,No,Canada,1,Male,Married,2
O-1,Europe,11,PhD,Businessperson,66897.00704191768,Yes,No,Multiple,Medium,Clean,No,No,UK,1,Female,Married,1
J-1,Asia,45,High School,Athlete,34548.273641094675,Yes,No,Never,High,Clean,No,No,India,1,Female,Married,2
O-1,North America,19,Bachelor,Technician,21034.84026012792,Yes,No,Once,Medium,Clean,No,No,Guatemala,1,Female,Single,0
TN,North America,55,Bachelor,Athlete,26679.178978867803,Yes,No,Never,Medium,Clean,No,No,Canada,1,Male,Single,2
TN,Europe,5,Bachelor,Businessperson,42476.42108286862,Yes,No,Never,Medium,Clean,No,Yes,Germany,1,Female,Married,1
O-1,Europe,59,PhD,Professor,26071.003300866505,Yes,Yes,Once,Medium,Clean,No,Yes,France,1,Female,Single,2
TN,Africa,20,Bachelor,Businessperson,0.0,Yes,No,Once,Medium,Clean,No,No,Kenya,1,Female,Single,0
J-1,Africa,31,High School,Student,37548.57816362192,Yes,No,Once,Medium,Clean,No,No,Ghana,1,Male,Married,1
B-1,Europe,3,PhD,Technician,55598.090641180366,Yes,No,Never,Low,Clean,No,Yes,Russia,1,Female,Single,0
O-1,North America,39,Bachelor,Businessperson,23953.60085879728,Yes,No,Never,Medium,Clean,No,No,Mexico,1,Female,Divorced,1
L-1,South America,57,Master,Student,27619.925128685398,Yes,No,Never,High,Clean,No,No,Brazil,1,Female,Single,0
L-1,Africa,31,Bachelor,Technician,62444.481252334626,Yes,Yes,Never,Medium,Clean,No,No,Nigeria,1,Female,Single,0
B-2,Europe,46,Bachelor,Technician,13715.99184384547,No,No,Once,High,Clean,No,No,Russia,1,Female,Married,2
TN,South America,51,High School,Businessperson,12264.630373539756,Yes,No,Never,High,Clean,No,No,Argentina,1,Female,Married,0
L-1,South America,80,Master,Professor,77097.54539450287,Yes,No,Multiple,Medium,Clean,No,No,Brazil,1,Female,Married,1
B-2,South America,40,High School,Student,0.0,Yes,No,Multiple,Medium,Clean,No,No,Brazil,1,Male,Divorced,3
B-1,South America,28,Bachelor,Scientist,33120.535196524914,Yes,No,Once,Medium,Clean,No,No,Brazil,1,Female,Divorced,0
J-1,Asia,74,Master,Technician,51880.92709407951,Yes,No,Once,High,Negative Content,No,No,India,1,Male,Widowed,2
J-1,Africa,76,Bachelor,Businessperson,36900.61078472157,Yes,No,Once,High,Clean,No,No,South Africa,1,Male,Single,1
J-1,South America,37,Bachelor,Scientist,5699.169899451073,Yes,No,Once,High,Clean,No,No,Colombia,1,Male,Married,0
L-1,South America,80,PhD,Athlete,55665.71407904671,Yes,No,Never,Medium,Clean,No,No,Colombia,1,Male,Married,0
B-1,Europe,46,Master,Athlete,40112.254672065974,Yes,No,Once,High,Clean,No,Yes,UK,1,Female,Single,0
L-1,Europe,9,High School,Athlete,57943.928815132414,Yes,No,Multiple,High,Clean,No,No,UK,1,Female,Single,0
TN,Asia,67,Bachelor,Scientist,6624.791970598122,Yes,No,Once,Medium,Clean,No,No,Pakistan,1,Female,Single,0
L-1,South America,64,High School,Athlete,753.6122089165328,Yes,No,Never,High,Clean,No,No,Brazil,1,Female,Married,4
B-1,Asia,31,Master,Scientist,0.0,No,No,Never,High,Clean,No,No,Pakistan,1,Female,Single,0
B-1,Europe,32,Bachelor,Student,0.0,Yes,No,Multiple,High,Clean,No,No,Germany,1,Female,Married,0
TN,Africa,30,Bachelor,Businessperson,44670.38021742757,No,No,Once,Medium,Clean,No,No,Kenya,1,Female,Single,1
B-1,North America,4,High School,Scientist,43784.722692837066,Yes,No,Once,High,Clean,No,No,Mexico,1,Female,Single,3
B-1,North America,68,High School,Technician,51949.544561349656,Yes,No,Once,High,Clean,No,No,Canada,1,Male,Single,2
J-1,Asia,35,Bachelor,Athlete,16332.88652378422,Yes,No,Never,High,Clean,No,No,China,1,Male,Single,1
TN,Europe,8,Bachelor,Athlete,27686.918179381875,Yes,No,Once,High,Clean,No,No,Russia,1,Female,Divorced,1
F-1,North America,47,PhD,Businessperson,19282.43870943589,No,No,Multiple,Medium,Negative Content,No,Yes,Guatemala,0,Male,Married,1
F-1,South America,0,PhD,Scientist,24472.526116222907,Yes,No,Multiple,Medium,Clean,No,No,Colombia,1,Male,Married,1
B-1,Africa,17,High School,Technician,2830.754663680502,Yes,No,Never,Low,Clean,No,No,Nigeria,1,Female,Married,2
F-1,Europe,77,High School,Student,35087.72381602178,Yes,No,Once,Medium,Clean,No,No,France,0,Male,Single,0
F-1,Asia,17,Bachelor,Businessperson,48968.091329059374,Yes,No,Once,High,Clean,No,No,Pakistan,1,Female,Single,0
B-1,Europe,61,Master,Athlete,57643.65524704321,Yes,No,Once,High,Clean,No,Yes,France,1,Male,Single,0
F-1,Africa,17,PhD,Student,14300.413360932853,No,No,Once,High,Clean,No,No,South Africa,1,Female,Single,1
L-1,Europe,58,Bachelor,Businessperson,31828.844908414743,No,No,Once,High,Clean,No,No,Russia,1,Female,Married,0
B-2,Asia,23,PhD,Technician,25868.013960297198,Yes,No,Never,High,Clean,No,No,Pakistan,1,Female,Married,3
TN,South America,48,Master,Athlete,26292.00483615727,Yes,No,Once,High,Clean,No,No,Colombia,1,Male,Married,0
B-2,Europe,77,High School,Student,17000.276057471936,Yes,No,Never,Medium,Clean,No,No,France,0,Female,Married,1
B-1,Asia,44,Bachelor,Businessperson,37225.63912214193,Yes,No,Once,Medium,Clean,No,No,Pakistan,1,Female,Married,2
J-1,South America,21,Bachelor,Scientist,15456.720320386292,Yes,No,Multiple,Medium,Clean,No,No,Argentina,1,Female,Married,1
TN,North America,0,Master,Businessperson,39820.598169381185,No,No,Never,Low,Clean,No,No,Guatemala,1,Female,Single,0
B-1,Europe,20,Master,Technician,5893.851320963655,Yes,No,Never,High,Clean,No,Yes,UK,1,Male,Married,1
J-1,South America,12,High School,Scientist,40993.7880457189,Yes,No,Never,High,Clean,No,No,Argentina,1,Other,Divorced,2
B-2,North America,53,Bachelor,Athlete,5128.776995036507,Yes,No,Never,Low,Clean,No,No,Guatemala,1,Female,Widowed,0
B-1,Europe,52,High School,Professor,49314.4066923466,Yes,Yes,Never,Low,Clean,No,No,UK,0,Male,Single,2
TN,Europe,46,High School,Technician,15267.186887011978,No,No,Once,Medium,Clean,No,No,Russia,0,Male,Single,1
TN,Africa,74,Bachelor,Scientist,0.0,Yes,No,Never,Medium,Clean,No,No,Nigeria,1,Male,Married,3
O-1,Europe,61,None,Professor,37188.15010766704,Yes,No,Never,High,Clean,No,No,Germany,1,Female,Married,1
L-1,Europe,1,Master,Athlete,46901.25765655264,Yes,No,Multiple,Medium,Clean,No,No,Russia,1,Male,Single,1
F-1,South America,67,High School,Student,17087.77576477071,Yes,No,Multiple,Medium,Clean,No,No,Colombia,1,Male,Single,1
J-1,Asia,27,Master,Scientist,21691.431796225366,No,No,Once,Medium,Clean,No,No,China,1,Female,Married,0
O-1,Africa,29,Bachelor,Businessperson,26161.924419141433,Yes,No,Never,High,Negative Content,No,No,Nigeria,1,Male,Married,0
F-1,Europe,51,Bachelor,Businessperson,14861.252338139213,Yes,No,Once,High,Clean,No,No,France,1,Female,Widowed,0
F-1,South America,40,Master,Athlete,0.0,Yes,Yes,Multiple,High,Clean,No,No,Argentina,1,Female,Single,2
B-1,South America,80,None,Professor,42869.633734817595,No,No,Once,Medium,Clean,No,No,Brazil,0,Male,Married,1
F-1,Asia,22,High School,Athlete,30334.512450270955,Yes,No,Once,Medium,Clean,No,No,Philippines,1,Female,Single,0
L-1,North America,50,High School,Student,22557.484419577133,Yes,No,Never,Medium,Clean,No,No,Mexico,1,Male,Single,1
TN,Europe,57,PhD,Student,46835.24532729991,Yes,No,Never,High,Clean,No,No,Germany,1,Male,Single,2
O-1,North America,77,High School,Technician,7795.962809231321,No,No,Never,Medium,Clean,No,No,Mexico,0,Female,Single,0
F-1,Asia,53,High School,Scientist,39166.40010317762,Yes,No,Once,Medium,Clean,No,Yes,India,1,Female,Single,0
B-1,South America,41,Master,Businessperson,36553.98378510868,Yes,No,Never,High,Clean,No,No,Colombia,1,Female,Single,0
L-1,North America,2,High School,Scientist,22311.4914176506,Yes,No,Never,Medium,Clean,No,No,Canada,1,Other,Single,0
B-2,Asia,13,Bachelor,Athlete,43785.23243836996,Yes,No,Multiple,Medium,Clean,No,No,China,1,Female,Married,1
TN,North America,33,Bachelor,Student,54441.98399807667,Yes,No,Never,Medium,Clean,No,No,Mexico,1,Male,Widowed,2
TN,South America,66,Bachelor,Scientist,36984.85629403591,Yes,No,Multiple,High,Clean,No,No,Colombia,1,Male,Married,2
O-1,Europe,15,Bachelor,Athlete,30422.546587379788,Yes,No,Never,High,Clean,No,No,Germany,1,Male,Married,0
TN,Africa,67,High School,Student,35456.1893668744,Yes,No,Never,High,Clean,No,No,Ghana,1,Female,Single,0
F-1,South America,49,Bachelor,Student,16115.756608823209,Yes,No,Once,Medium,Clean,No,No,Brazil,1,Male,Single,3
B-1,North America,72,Master,Athlete,28983.50941380079,No,No,Never,Medium,Clean,No,No,Guatemala,0,Female,Married,1
TN,Europe,50,Master,Professor,23161.39625943656,Yes,No,Never,High,Clean,No,No,Russia,1,Female,Widowed,0
TN,Africa,7,None,Athlete,42995.83216982901,Yes,No,Never,High,Clean,No,Yes,South Africa,1,Male,Single,0
B-2,Asia,2,High School,Technician,49331.414351975014,Yes,No,Multiple,High,Clean,No,No,Philippines,1,Male,Married,1
B-2,Europe,67,Master,Athlete,44627.310087156155,Yes,No,Never,High,Clean,No,No,Germany,1,Female,Married,0
J-1,South America,23,Master,Student,39479.65665373795,Yes,No,Once,Medium,Clean,No,No,Argentina,1,Male,Married,0
L-1,North America,53,High School,Technician,40893.688372743985,Yes,No,Multiple,High,Clean,No,No,Guatemala,1,Female,Divorced,1
F-1,Africa,65,Master,Student,30553.486309792323,Yes,No,Once,High,Clean,No,No,Ghana,1,Female,Married,1
TN,Europe,53,Bachelor,Professor,63684.30931902058,No,No,Once,Medium,Clean,No,No,UK,1,Female,Single,2
TN,Africa,38,Master,Student,18073.049908529814,Yes,No,Once,Medium,Clean,No,No,Nigeria,1,Female,Divorced,0
B-1,Africa,0,Bachelor,Businessperson,46666.441289770766,Yes,No,Once,High,Clean,No,Yes,South Africa,1,Female,Married,1
J-1,Europe,24,Bachelor,Businessperson,17121.322173826666,Yes,Yes,Once,Medium,Clean,No,No,UK,1,Male,Married,0
L-1,North America,36,Bachelor,Technician,57859.151134052314,Yes,No,Once,Medium,Clean,No,No,Mexico,1,Male,Single,1
J-1,Asia,55,High School,Technician,13572.888915033,Yes,No,Multiple,Medium,Clean,No,No,Pakistan,1,Female,Married,3
O-1,Europe,58,Bachelor,Businessperson,80615.16382243909,Yes,No,Multiple,High,Clean,No,No,UK,1,Female,Married,0
L-1,Asia,9,Bachelor,Student,52933.71076960015,No,Yes,Multiple,Low,Clean,No,No,China,0,Female,Single,2
TN,Africa,10,Bachelor,Technician,35243.211065511976,No,No,Multiple,High,Clean,No,Yes,Ghana,1,Female,Married,2
TN,Africa,12,PhD,Scientist,56309.53703865128,Yes,No,Once,High,Clean,No,No,South Africa,1,Male,Single,0
L-1,North America,76,Bachelor,Technician,48408.441396937,Yes,No,Never,High,Clean,No,No,Guatemala,1,Female,Married,3
TN,Europe,79,None,Scientist,23130.965537996744,No,No,Multiple,Medium,Clean,No,No,Germany,0,Female,Single,0
F-1,Europe,34,Bachelor,Student,69183.70644029706,Yes,No,Multiple,Medium,Clean,No,No,UK,1,Female,Married,1
L-1,South America,48,Master,Businessperson,30287.235236414275,Yes,No,Multiple,Medium,Clean,No,No,Brazil,1,Male,Married,0
J-1,North America,53,High School,Professor,17072.823686636268,No,No,Never,Medium,Clean,No,No,Guatemala,0,Male,Single,1
L-1,Europe,50,Bachelor,Athlete,52072.93069946302,Yes,No,Never,Medium,Negative Content,No,No,UK,1,Male,Single,0
TN,Africa,13,Master,Athlete,13874.320304112216,Yes,No,Never,Medium,Clean,No,No,South Africa,1,Female,Married,1
F-1,North America,64,Master,Businessperson,55421.010651820216,Yes,No,Never,High,Clean,No,No,Mexico,1,Male,Divorced,0
F-1,South America,3,Master,Professor,1241.9711767572444,Yes,No,Once,Medium,Clean,No,Yes,Argentina,1,Female,Single,0
O-1,South America,64,Master,Technician,16415.743084310594,Yes,No,Once,High,Clean,No,No,Argentina,1,Female,Married,1
J-1,Africa,30,Master,Scientist,5632.388591248597,Yes,No,Never,High,Clean,No,No,Kenya,1,Male,Divorced,1
B-2,Europe,64,High School,Athlete,35519.11508109625,Yes,No,Once,High,Clean,No,Yes,UK,1,Female,Divorced,1
B-2,Africa,33,High School,Scientist,0.0,Yes,No,Once,Medium,Clean,No,No,South Africa,1,Female,Married,3
L-1,South America,56,None,Scientist,39742.22026277343,Yes,Yes,Multiple,High,Clean,No,No,Colombia,1,Female,Married,0
O-1,North America,8,Bachelor,Student,43165.702475135666,Yes,No,Never,Medium,Clean,No,No,Guatemala,1,Female,Single,2
B-1,Europe,12,High School,Technician,33997.50686437998,Yes,No,Once,High,Clean,No,No,Russia,1,Male,Married,0
L-1,Africa,11,PhD,Technician,27535.922797951876,No,No,Never,Medium,Clean,No,No,Nigeria,1,Male,Married,2
O-1,Europe,72,Master,Technician,4010.7190357446016,Yes,No,Once,High,Clean,No,No,France,1,Male,Single,1
J-1,North America,29,Bachelor,Technician,17435.09677110731,Yes,No,Once,Medium,Clean,No,No,Mexico,1,Female,Single,1
J-1,South America,50,Master,Businessperson,10672.056925438901,No,No,Once,High,Clean,No,No,Argentina,1,Female,Single,0
J-1,Africa,56,PhD,Scientist,36267.01854852726,Yes,Yes,Multiple,Medium,Clean,No,No,Ghana,1,Male,Single,1
J-1,South America,62,None,Scientist,8917.416529412167,Yes,No,Never,Low,Clean,No,No,Colombia,1,Male,Married,1
J-1,Africa,15,Bachelor,Professor,22328.308080606075,Yes,No,Multiple,High,Clean,No,No,Kenya,1,Male,Married,0
O-1,Europe,3,Bachelor,Athlete,55927.24684569602,Yes,No,Never,High,Clean,No,No,UK,1,Male,Married,0
O-1,Asia,19,High School,Student,45342.42388303764,Yes,No,Multiple,Medium,Clean,No,No,Philippines,1,Male,Single,2
F-1,Africa,14,Master,Businessperson,40132.59773992612,Yes,No,Never,Low,Clean,No,No,Kenya,1,Female,Married,2
B-2,Africa,14,Bachelor,Professor,36597.41699366513,Yes,No,Once,High,Clean,No,No,Ghana,1,Female,Divorced,2
TN,South America,37,PhD,Scientist,54450.81294820416,Yes,No,Once,Medium,Clean,No,No,Colombia,1,Male,Married,0
J-1,Asia,35,Bachelor,Professor,15548.483346979136,Yes,Yes,Never,Medium,Clean,No,No,Pakistan,1,Male,Single,1
B-1,Asia,80,Bachelor,Scientist,20349.64397402585,Yes,No,Once,High,Clean,No,No,India,1,Male,Married,0
TN,Asia,50,PhD,Businessperson,36342.0576809341,Yes,No,Multiple,High,Clean,No,No,China,1,Male,Married,1
O-1,Asia,24,PhD,Technician,62910.3662585386,Yes,No,Never,Low,Clean,No,No,India,1,Female,Married,0
B-1,North America,4,Bachelor,Professor,25735.47031206218,No,Yes,Never,High,Clean,No,No,Guatemala,1,Female,Single,0
B-1,Europe,74,Bachelor,Athlete,35693.057452300985,Yes,No,Once,Medium,Clean,No,No,Germany,1,Female,Divorced,1
B-1,Africa,77,High School,Professor,25080.63115860594,Yes,No,Multiple,Medium,Clean,No,Yes,Kenya,0,Female,Married,2
F-1,Europe,2,High School,Athlete,8096.830641096774,Yes,No,Multiple,Medium,Clean,No,No,Germany,1,Male,Single,1
O-1,Europe,51,Master,Professor,16127.474014647658,Yes,No,Never,High,Clean,No,No,Germany,1,Male,Single,0
B-1,Europe,32,Bachelor,Scientist,41214.500645876884,Yes,No,Once,Medium,Clean,No,No,Russia,1,Female,Single,2
J-1,Europe,24,Bachelor,Technician,34294.50147798042,Yes,Yes,Once,Low,Clean,No,Yes,Russia,1,Female,Single,1
